priority_rank,admin2_name,admin1_name,admin2_pcode,priority_tier,priority_score,disaster_score,poverty_score,flood_extent_pct,chirps_mean_mm,floodscan_mean,MPI,Headcount Ratio,In Severe Poverty,ipc_phase3plus_pct,ipc_phase_label,population_2026,affected_population_proxy,recommended_beneficiaries
1,Wajir West,Wajir,KE008036,Very High,69.99548029403554,0.7386868047178815,0.6418568002740664,0.019097011129725804,12.008172137920672,0.11498191508841007,0.3956,73.1124,42.8622,0.3,P3,-91871985664.0,-67864623533.22718,238
2,Turkana West,Turkana,KE023124,Very High,63.110303870777315,0.3851717311796219,1.0,0.0170909431461625,0.0,0.0261852981070795,0.4968,79.5519,64.8855,0.65,P4,-163069870080.0,-62809904161.94962,381
3,Turkana North,Turkana,KE023123,Very High,53.79853565245194,0.385531149763088,0.7666666666666666,0.01598342542243372,0.0,0.05483824282276387,0.4968,79.5519,64.8855,0.3,P3,-234392043520.0,-90365434033.58536,466
4,Eldas,Wajir,KE008037,Very High,46.8031588796882,0.3521481144787591,0.6418568002740664,0.00906112508641961,6.792814555921052,0.030655358518872942,0.3956,73.1124,42.8622,0.3,P3,-53087633408.0,-18694710006.76678,92
5,Banissa,Mandera,KE009040,Very High,44.5800159225886,0.17227056342375313,0.8560945529290853,0.0002520633564487941,7.856188007429535,0.014377768223102275,0.4612,81.3359,55.9011,0.5,P3,-34896392192.0,-6011621144.3721,58
6,Kaloleni,Kilifi,KE003013,Very High,41.04612520541467,0.4815487008941728,0.30383007879410756,0.017657918796288863,1.23644903431768,0.09803749620914459,0.2026,46.3581,13.1869,0.15,P2,-2714571264.0,-1307198265.6638525,4
7,Turkana Central,Turkana,KE023125,Very High,40.518406702446356,0.16419566726299484,0.7666666666666666,0.007723685779101864,0.0,2.564102499327885e-06,0.4968,79.5519,64.8855,0.3,P3,-71054663680.0,-11666867915.085285,106
8,Nyakach,Kisumu,KE042244,Very High,40.06740028488893,0.578042374281094,0.13462144570058238,0.023520067644551428,0.0,0.09354872504870097,0.0654,16.5818,1.848,0.15,,-1136119936.0,-656725465.2735245,2
9,Lagdera,Garissa,KE007029,Very High,39.727215997116225,0.3424400108232401,0.47952038369304556,0.014748141316060528,0.0,0.0346631595962926,0.291,55.2501,30.3679,0.25,P3,-73737281536.0,-25250595487.26414,108
10,Mandera West,Mandera,KE009039,Very High,39.144755281458174,0.08168288607157932,0.8560945529290853,0.0016652460417931887,2.3414087352638475,0.00013389829861915718,0.4612,81.3359,55.9011,0.5,P3,-59514773504.0,-4861338463.703079,86
