admin2_name,admin1_name,admin2_pcode,worldpop_raster_nodata,worldpop_raw_sum,worldpop_clean_sum,worldpop_negative_cell_count,worldpop_valid_cell_count
Turkana East,Turkana,KE023128,-99999.0,164253.36364045157,164253.36364045157,0,25995
Turkana North,Turkana,KE023123,-99999.0,126507.06015534454,126507.06015534454,0,59404
Turkana South,Turkana,KE023127,-99999.0,179918.01395722874,179918.01395722874,0,57511
Turkana West,Turkana,KE023124,-99999.0,273203.3522178226,273203.3522178226,0,91485
Ugenya,Siaya,KE041232,-99999.0,160226.1338133332,160226.1338133332,0,36291
Ugunja,Siaya,KE041233,-99999.0,120148.81025270521,120148.81025270521,0,22705
Uriri,Migori,KE044257,-99999.0,166534.6320932833,166534.6320932833,0,42045
Vihiga,Vihiga,KE038211,-99999.0,103988.56680584559,103988.56680584559,0,10387
Voi,Taita Taveta,KE006026,-99999.0,125486.28447915637,125486.28447915637,0,63384
Wajir East,Wajir,KE008034,-99999.0,133521.47034783394,133521.47034783394,0,20736
Wajir North,Wajir,KE008033,-99999.0,125292.37263603369,125292.37263603369,0,16459
Wajir South,Wajir,KE008038,-99999.0,364041.1000288727,364041.1000288727,0,63801
Wajir West,Wajir,KE008036,-99999.0,88737.96297821985,88737.96297821985,0,32130
Webuye East,Bungoma,KE039221,-99999.0,124176.32587013429,124176.32587013429,0,19043
Webuye West,Bungoma,KE039222,-99999.0,185975.9329381314,185975.9329381314,0,25094
West Mugirango,Nyamira,KE046271,-99999.0,162822.99039807892,162822.99039807892,0,20897
Westlands,Nairobi,KE047274,-99999.0,236147.6078179938,236147.6078179938,0,7738
Wundanyi,Taita Taveta,KE006024,-99999.0,54218.646862016525,54218.646862016525,0,35503
Yatta,Machakos,KE016076,-99999.0,197951.1161983123,197951.1161983123,0,111550
